panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,a-orbit-0199,Gamma,1.0424562346247703,0.61742998659679971,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0200,Gamma,1.0471975511965976,0.61547970867038748,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0201,Gamma,1.0519532224933523,0.61355280140861379,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0202,Gamma,1.0567231181359031,0.61164915000499498,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0203,Gamma,1.0615071073551514,0.60976864051307089,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0204,Gamma,1.0663050589956167,0.60791115986163424,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0205,Gamma,1.07111684151903,0.60607659586946505,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0206,Gamma,1.0759423230079439,0.60426483725957425,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0207,Gamma,1.080781371169345,0.602475773672979,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0208,Gamma,1.0856338533382843,0.60070929568201181,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0209,Gamma,1.0904996364815114,0.59896529480317984,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0210,Gamma,1.0953785872011235,0.59724366350958302,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0211,Gamma,1.1002705717382222,0.59554429524290375,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0212,Gamma,1.1051754559765801,0.59386708442497738,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0213,Gamma,1.1100931054463181,0.59221192646895493,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0214,Gamma,1.1150233853275919,0.59057871779006821,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0215,Gamma,1.1199661604542883,0.58896735581600812,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0216,Gamma,1.1249212953177301,0.58737773899692558,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0217,Gamma,1.1298886540703921,0.58580976681506525,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0218,Gamma,1.1348681005296246,0.58426333979404255,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0219,Gamma,1.1398594981813881,0.58273835950777286,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0220,Gamma,1.1448627101839939,0.58123472858906278,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0221,Gamma,1.149877599371858,0.57975235073787268,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0222,Gamma,1.15490402825926,0.57829113072925942,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0223,Gamma,1.1599418590441131,0.57685097442100997,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0224,Gamma,1.1649909536117407,0.57543178876097167,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0225,Gamma,1.1700511735386656,0.57403348179409053,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0226,Gamma,1.1751223800964019,0.57265596266916619,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0227,Gamma,1.1802044342552604,0.57129914164532891,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0228,Gamma,1.1852971966881587,0.56996293009825127,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0229,Gamma,1.1904005277744425,0.56864724052609805,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0230,Gamma,1.1955142876037121,0.56735198655522656,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0231,Gamma,1.2006383359796584,0.56607708294564185,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0232,Gamma,1.205772532423907,0.56482244559621664,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0233,Gamma,1.2109167361798687,0.56358799154968109,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0234,Gamma,1.216070806216599,0.56237363899739345,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0235,Gamma,1.221234601232664,0.56117930728389442,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0236,Gamma,1.2264079796600156,0.56000491691125509,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0237,Gamma,1.2315907996678701,0.55885038954322552,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0238,Gamma,1.2367829191665995,0.5577156480091876,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0239,Gamma,1.2419841958116244,0.55660061630792346,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
