L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,194,0.7578125,0.00031465636353023263,178.09561012634288,134586,finite long-double observation
1,256,195,0.76171875,0.00053752887313960696,105.05578059546815,134190,finite long-double observation
1,256,196,0.765625,0.00043577787528339143,130.56974216863549,133788,finite long-double observation
1,256,197,0.76953125,0.00053415485563791405,107.31996055535728,133380,finite long-double observation
1,256,198,0.7734375,0.00038635069405014574,149.47204077464335,132966,finite long-double observation
1,256,199,0.77734375,0.00043244191339163093,134.51226562677937,132546,finite long-double observation
1,256,200,0.78125,0.00045379960997500194,129.10040251471568,132120,finite long-double observation
1,256,201,0.78515625,0.00050840677702282692,116.04768181837302,131688,finite long-double observation
1,256,202,0.7890625,0.0004521796080768516,131.38535022161585,131250,finite long-double observation
1,256,203,0.79296875,0.00049977435600888332,119.68730159693894,130806,finite long-double observation
1,256,204,0.796875,0.00050633530839127845,118.93288224026657,130356,finite long-double observation
1,256,205,0.80078125,0.00042800506859569994,141.63262596817717,129900,finite long-double observation
1,256,206,0.8046875,0.00055080277283681015,110.77507907645875,129438,finite long-double observation
1,256,207,0.80859375,0.00039840411407141143,154.13248842845888,128970,finite long-double observation
1,256,208,0.8125,0.00041931902670408943,147.36930685146606,128496,finite long-double observation
1,256,209,0.81640625,0.00054659072559001798,113.75661797871376,128016,finite long-double observation
1,256,210,0.8203125,0.00052325506706739973,119.55464136641912,127530,finite long-double observation
1,256,211,0.82421875,0.00054311419636578716,115.87325942107547,127038,finite long-double observation
1,256,212,0.828125,0.000504727686974716,125.41953446423756,126540,finite long-double observation
1,256,213,0.83203125,0.00037578775589360193,169.42634857297591,126036,finite long-double observation
1,256,214,0.8359375,0.00049445360174080178,129.49485187659121,125526,finite long-double observation
1,256,215,0.83984375,0.00037536219512861131,171.52801633696433,125010,finite long-double observation
1,256,216,0.84375,0.00053742158607597817,120.45670271185617,124488,finite long-double observation
1,256,217,0.84765625,0.00060667156504864202,107.27677312764405,123960,finite long-double observation
