radiusOverOptimal,nearContribution,farContribution,totalBound
1.258925411794e+00,1.888388117691e+00,7.079457843841e-01,2.596333902075e+00
1.277173797581e+00,1.915760696372e+00,6.928273124727e-01,2.608588008844e+00
1.295686697517e+00,1.943530046276e+00,6.780317017152e-01,2.621561747991e+00
1.314467945789e+00,1.971701918684e+00,6.635520572798e-01,2.635253975964e+00
1.333521432163e+00,2.000282148245e+00,6.493816315762e-01,2.649663779821e+00
1.352851102787e+00,2.029276654180e+00,6.355138211120e-01,2.664790475292e+00
1.372460961008e+00,2.058691441511e+00,6.219421634148e-01,2.680633604926e+00
1.392355068204e+00,2.088532602305e+00,6.086603340211e-01,2.697192936327e+00
1.412537544623e+00,2.118806316934e+00,5.956621435290e-01,2.714468460463e+00
1.433012570237e+00,2.149518855355e+00,5.829415347136e-01,2.732460390069e+00
1.453784385608e+00,2.180676578411e+00,5.704925797046e-01,2.751169158116e+00
1.474857292764e+00,2.212285939146e+00,5.583094772239e-01,2.770595416370e+00
1.496235656094e+00,2.244353484142e+00,5.463865498819e-01,2.790740034024e+00
1.517923903249e+00,2.276885854874e+00,5.347182415320e-01,2.811604096406e+00
1.539926526059e+00,2.309889789089e+00,5.232991146815e-01,2.833188903771e+00
1.562248081465e+00,2.343372122198e+00,5.121238479575e-01,2.855495970155e+00
1.584893192461e+00,2.377339788692e+00,5.011872336273e-01,2.878527022319e+00
1.607866549053e+00,2.411799823579e+00,4.904841751712e-01,2.902283998750e+00
1.631172909228e+00,2.446759363842e+00,4.800096849081e-01,2.926769048750e+00
1.654817099943e+00,2.482225649915e+00,4.697588816706e-01,2.951984531585e+00
1.678804018123e+00,2.518206027184e+00,4.597269885309e-01,2.977933015715e+00
1.703138631672e+00,2.554707947508e+00,4.499093305741e-01,3.004617278082e+00
1.727825980508e+00,2.591738970762e+00,4.403013327202e-01,3.032040303482e+00
1.752871177602e+00,2.629306766403e+00,4.308985175921e-01,3.060205283995e+00
1.778279410039e+00,2.667419115058e+00,4.216965034286e-01,3.089115618487e+00
1.804055940092e+00,2.706083910138e+00,4.126910020429e-01,3.118774912181e+00
1.830206106311e+00,2.745309159467e+00,4.038778168243e-01,3.149186976291e+00
1.856735324631e+00,2.785102986946e+00,3.952528407824e-01,3.180355827728e+00
1.883649089490e+00,2.825473634235e+00,3.868120546331e-01,3.212285688868e+00
1.910952974970e+00,2.866429462456e+00,3.785515249259e-01,3.244980987382e+00
1.938652635952e+00,2.907978953928e+00,3.704674022107e-01,3.278446356139e+00
1.966753809283e+00,2.950130713925e+00,3.625559192441e-01,3.312686633169e+00
1.995262314969e+00,2.992893472453e+00,3.548133892336e-01,3.347706861687e+00
2.024184057376e+00,3.036276086064e+00,3.472362041196e-01,3.383512290184e+00
2.053525026457e+00,3.080287539686e+00,3.398208328943e-01,3.420108372580e+00
2.083291298990e+00,3.124936948485e+00,3.325638199557e-01,3.457500768441e+00
2.113489039837e+00,3.170233559755e+00,3.254617834980e-01,3.495695343253e+00
2.144124503220e+00,3.216186754830e+00,3.185114139350e-01,3.534698168765e+00
2.175204034020e+00,3.262806051029e+00,3.117094723580e-01,3.574515523387e+00
