dOverOptimal,production,dissipation,profit
1.11000000,4.325658454509e+00,3.330000000000e+00,9.956584545091e-01
1.12000000,4.354853085663e+00,3.360000000000e+00,9.948530856633e-01
1.13000000,4.383982621935e+00,3.390000000000e+00,9.939826219346e-01
1.14000000,4.413047782622e+00,3.420000000000e+00,9.930477826220e-01
1.15000000,4.442049272843e+00,3.450000000000e+00,9.920492728430e-01
1.16000000,4.470987783934e+00,3.480000000000e+00,9.909877839336e-01
1.17000000,4.499863993834e+00,3.510000000000e+00,9.898639938342e-01
1.18000000,4.528678567462e+00,3.540000000000e+00,9.886785674616e-01
1.19000000,4.557432157067e+00,3.570000000000e+00,9.874321570668e-01
1.20000000,4.586125402581e+00,3.600000000000e+00,9.861254025810e-01
1.21000000,4.614758931949e+00,3.630000000000e+00,9.847589319487e-01
1.22000000,4.643333361449e+00,3.660000000000e+00,9.833333614495e-01
1.23000000,4.671849296008e+00,3.690000000000e+00,9.818492960084e-01
1.24000000,4.700307329496e+00,3.720000000000e+00,9.803073294955e-01
1.25000000,4.728708045016e+00,3.750000000000e+00,9.787080450159e-01
1.26000000,4.757052015188e+00,3.780000000000e+00,9.770520151885e-01
1.27000000,4.785339802417e+00,3.810000000000e+00,9.753398024170e-01
1.28000000,4.813571959151e+00,3.840000000000e+00,9.735719591506e-01
1.29000000,4.841749028137e+00,3.870000000000e+00,9.717490281368e-01
1.30000000,4.869871542665e+00,3.900000000000e+00,9.698715426654e-01
1.31000000,4.897940026805e+00,3.930000000000e+00,9.679400268048e-01
1.32000000,4.925954995630e+00,3.960000000000e+00,9.659549956305e-01
1.33000000,4.953916955446e+00,3.990000000000e+00,9.639169554464e-01
1.34000000,4.981826403999e+00,4.020000000000e+00,9.618264039991e-01
1.35000000,5.009683830685e+00,4.050000000000e+00,9.596838306847e-01
1.36000000,5.037489716750e+00,4.080000000000e+00,9.574897167505e-01
1.37000000,5.065244535489e+00,4.110000000000e+00,9.552445354886e-01
1.38000000,5.092948752425e+00,4.140000000000e+00,9.529487524254e-01
1.39000000,5.120602825504e+00,4.170000000000e+00,9.506028255035e-01
1.40000000,5.148207205260e+00,4.200000000000e+00,9.482072052595e-01
1.41000000,5.175762334995e+00,4.230000000000e+00,9.457623349954e-01
1.42000000,5.203268650945e+00,4.260000000000e+00,9.432686509454e-01
