rankByGap,label,gapDecimal,gapSha256,isNearest,classification
107,"s=134,j=82",0.15014525436028395663,25a5a3b9ca4f3c79c36f656193e3c8c518f12a9d865647e60ae2ebc8d4f5a761,false,formal exact root-box upper-envelope gap
108,"s=132,j=81",0.15187313590076409056,f62435982a122c6a9b31538c96b62b75d47483b2919e4fc1fa058aad7e48030c,false,formal exact root-box upper-envelope gap
109,"s=133,j=83",0.16327581862186769647,cb3f7ce9c1916c15282a816ba6f91bfec9ca44ce6d3ec6e729278b0dc4fde8fb,false,formal exact root-box upper-envelope gap
110,"s=131,j=82",0.1651442536189718188,a2ae724d2d2ba427992812ec905ae92bfa7bc5f19e1381c3ca5b558db1d1e13c,false,formal exact root-box upper-envelope gap
111,"s=129,j=81",0.16705940641177557546,8636a1a133e10cae1cc6954eccd8120bba29612035b835a90c0022d43fac9294,false,formal exact root-box upper-envelope gap
112,"s=130,j=83",0.17809188351365084217,20bbc2aacac3751e194fb214a3780e3a90429f3253f81c5ad4109c2c84836ed0,false,formal exact root-box upper-envelope gap
113,"s=128,j=82",0.1801430189457229712,863626d1f50cf73b68c6e2a63f0469a9b5e075e6097c4e8c6607b066918b0ffe,false,formal exact root-box upper-envelope gap
114,"s=126,j=81",0.18224543157412908074,3e42de4eb294d21442cd27d61359deb78c56e7607a08303f4bb4f942bf122088,false,formal exact root-box upper-envelope gap
115,"s=127,j=83",0.19290770857200139335,98ea28d3aeedc37996388c5954d652fe4f3b244ebe454a26ac0ff9a7e9b80f56,false,formal exact root-box upper-envelope gap
116,"s=125,j=82",0.19514153284454193203,1c26a373a785b7365c42d5a1e092a66a88b3a4a195ededbbee09872e4796396f,false,formal exact root-box upper-envelope gap
117,"s=123,j=81",0.19743119294072408062,51aef81247e97f04b88e3e0df41697f772d6e4eded6097a8710abfa91fd87338,false,formal exact root-box upper-envelope gap
118,"s=124,j=83",0.20772327291494768693,9e4eebfb4dab6002e454f4e86b7706d0ea02f9d00cb10b0fff160b15d392d727,false,formal exact root-box upper-envelope gap
119,"s=122,j=82",0.21013976940817118045,6d44adfbbddc6aa628c55df352797e415ce76bcf3c57b52f8ca56957cceb1a53,false,formal exact root-box upper-envelope gap
120,"s=120,j=81",0.2126166593932680119,10fab787bf9ef24d1bca9d506003cdcb069459401b732ae8c6e188cd77032539,false,formal exact root-box upper-envelope gap
121,"s=121,j=83",0.22253854232371496623,94b7062b284fdc518e6db11692f81d11e5c4c8cf505fb0a307e6d0ce90d9f0dd,false,formal exact root-box upper-envelope gap
122,"s=119,j=82",0.22513770035374015342,64b29c728e93452dff7b687db1b95f9aeeb106280ad0bbabc77e07bbefe6960b,false,formal exact root-box upper-envelope gap
123,"s=117,j=81",0.22780180863068177126,fb643f2880aaaf60b23707773366cfa7ff56fb530c8731a472d16cad3d04848c,false,formal exact root-box upper-envelope gap
124,"s=118,j=83",0.23735351357424054612,f49842e69a0ea3179c3046673f43912df1500d67934ab96966a74146c817009d,false,formal exact root-box upper-envelope gap
125,"s=116,j=82",0.24013531742508254112,fb6cd46838b6f8ac593d5cf4fa2fcb53db2bf11dfbb23d979554eef43bc66958,false,formal exact root-box upper-envelope gap
126,"s=114,j=81",0.24298662715062017288,4fc04e1aff5ac71d7ad22e11a8102420ac4e51461921baec2e1694dbe16b53d1,false,formal exact root-box upper-envelope gap
127,"s=115,j=83",0.25216788764935945171,855554c86493b5925650307ace026c1ab5ad7c09be2ebb1e0a40760acaa035b1,false,formal exact root-box upper-envelope gap
128,"s=113,j=82",0.25513217774181144115,d3de76ca9b555334966d06404988258a2f856e8626ec6035c6a71976046df7af,false,formal exact root-box upper-envelope gap
129,"s=111,j=81",0.25817052485579053447,aaa94d9af1cb00a6cc1d63da1b68875275aa65592fd85a448f61c4388adbbc86,false,formal exact root-box upper-envelope gap
130,"s=112,j=83",0.26698150213675636857,702d6f4d8ef2c6abc7f4a16f3d9ed04fdc9b6a4234a4bb5fd69684ae2fcc315a,false,formal exact root-box upper-envelope gap
131,"s=110,j=82",0.27012839387689505182,476a1e80c12a71389e4af2e8127dffc4fa2d15a47fed4fe5b1ca011072151f74,false,formal exact root-box upper-envelope gap
132,"s=108,j=81",0.27335389537808343958,a2a1b9d0bdd7c562f409c1f454460d955d86961541f249bf7497fde2eeb38172,false,formal exact root-box upper-envelope gap
133,"s=109,j=83",0.28179474050883393894,405f0c0b27d2e215c4c4831e6d83567a6ba8175afc91b62dc97c28dcfd88b1ed,false,formal exact root-box upper-envelope gap
134,"s=107,j=82",0.2851242121930417283,f8ef0286dd14a408dce262bc52a19fd45ffe9990ccf948d1da6ca81ba26a2aee,false,formal exact root-box upper-envelope gap
135,"s=105,j=81",0.28853684469352638199,2a54d4f97176d2c5867edf15307e1c23fa53010c48873bb06a7bed665bae5944,false,formal exact root-box upper-envelope gap
136,"s=106,j=83",0.29660757003842633858,9c87c2b0d5d4d61dbabcc1902f0db89f0e81f7ebb1e53bc6f42f8fa1e8240de2,false,formal exact root-box upper-envelope gap
137,"s=104,j=82",0.3001195977553488176,2cef7f78e8ada188b8d1c8608358d6fce871a958053a65eb2392e3e0fa0cd24b,false,formal exact root-box upper-envelope gap
138,"s=102,j=81",0.30371933540923393905,aa35a5911cfd0388db3edba478d04c66e95db1fde4786fcdcb711c985f86d19e,false,formal exact root-box upper-envelope gap
139,"s=103,j=83",0.31141460571796164395,0b69e9a839bdbf776a88dc36597d7c12180ed37c2cc5d9f5dfbd9476cfa723d2,false,formal exact root-box upper-envelope gap
140,"s=101,j=82",0.31510369307792424612,f3915c88a08818b9b4fd2e8ef246b8fdc3b18a2e6f95a43f851f8a7a09e7e534,false,formal exact root-box upper-envelope gap
141,"s=99,j=81",0.3188849126991090924,e34c9ae2d8d751cbcb1e211bca602a9d4f88aa6908e8a7de2d2abc1e7faf223e,false,formal exact root-box upper-envelope gap
142,"s=100,j=83",0.326205150896796624,3869172bb9fa8ebb0c042b43081eef24179dabb42a8b0c3f104a38b4f5d94553,false,formal exact root-box upper-envelope gap
143,"s=98,j=82",0.33007650635043982155,1cbcaf0596664ddf1b8078248a323df574d13a3a51e3172acbcdaea93c83fc91,false,formal exact root-box upper-envelope gap
144,"s=96,j=81",0.33404453435859479449,95aac371cea280a507887a75239b0438b703a06ce6871d4a258bcc9ee2d093af,false,formal exact root-box upper-envelope gap
145,"s=97,j=83",0.34099523445931273576,f84d7da0769db3d246ae82663d18103ba552eb068bec58ab41b1bdf5d02fa209,false,formal exact root-box upper-envelope gap
146,"s=95,j=82",0.34504882790457825342,59b0cbf74e1178781a838cbbf6ef6f10227e99f399b6d343c08047696fbbcc33,false,formal exact root-box upper-envelope gap
147,"s=93,j=81",0.34920363152776476444,a682e64d35431645066f74595063d36f315acf88ec3bc5195952c8512c307fe0,false,formal exact root-box upper-envelope gap
148,"s=94,j=83",0.35578472242818899484,25e502846957c8210e53eb09fc799eafe2e614d08e7150c884d13ccfc3d56fa0,false,formal exact root-box upper-envelope gap
149,s=-1,0.3579334699524364517,f6747d29f44319b482e2342337db895f7ead4beab2aa79975b79365e8c4dc1b1,false,formal exact root-box upper-envelope gap
150,"s=92,j=82",0.36002043005360858394,651aec27cc05c615c751463d7b8d53e1e974e818a92e764a61bf992da95e8bc1,false,formal exact root-box upper-envelope gap
151,"s=90,j=81",0.36436188050040260099,1a8fd1906bfd2002c807f7506cf0dac000635979d93d9621bd275bcb4dc40ae0,false,formal exact root-box upper-envelope gap
152,"s=91,j=83",0.3705734315822928337,158912b988c81d7dfbc68a340b0bbc180c9f199051daafdcc03eb1d41f2d5fb8,false,formal exact root-box upper-envelope gap
153,"s=89,j=82",0.37499129993809527158,de5048cc96c46885e214fb42ad0cf270da675c12c68183a190353e2e62e9b68e,false,formal exact root-box upper-envelope gap
154,"s=87,j=81",0.37951944184500497541,85d066969e30871ff0e4d38e50493605c29d07d9b69eaef5d1f14157c8e69b59,false,formal exact root-box upper-envelope gap
155,"s=88,j=83",0.38536151909378593083,70177778ea397390aee094f5fb755c46cbe7586658aba3799e191429d73f7a01,false,formal exact root-box upper-envelope gap
156,"s=86,j=82",0.38996150516607241,a7f8ccd639fb45a7d6c3a652ebd498efe299c4d5e0023611ee5de7f293b4dab8,false,formal exact root-box upper-envelope gap
157,"s=84,j=81",0.39467629115785306265,5d723ae895a96455fd422a9a8d68bcaabbc97e05ff00fe6682ac08cd46804516,false,formal exact root-box upper-envelope gap
158,"s=85,j=83",0.40014892138258472094,21d707381888bbfadf8730a36db685d910efd3f342d72baf2e7cbad58efd735a,false,formal exact root-box upper-envelope gap
159,"s=83,j=82",0.40493097391414792281,61d3387b7ffe114aee00d90a760503ff70478ecd219db7d531aca53227a49039,false,formal exact root-box upper-envelope gap
160,"s=81,j=81",0.40983234745378526791,cc4218632ca7f41eda0b4b4b4f952edac31701bae2e3a960560582f64d25057d,false,formal exact root-box upper-envelope gap
161,"s=82,j=83",0.41460041406873833971,5a63112bc673adfe12f4b100cc21491222f289943bc31e9380e5777dd96ce009,false,formal exact root-box upper-envelope gap
162,"s=80,j=82",0.41922172580066170328,372b310c2594139462c525be22281ce2b114080d9fd9f737c5da7c3411d78d40,false,formal exact root-box upper-envelope gap
163,"s=78,j=81",0.42395903900555498059,547052f5957d273b6bfe291d45c335fab4d4bc245bb678c008d6d454946fe22b,false,formal exact root-box upper-envelope gap
164,"s=79,j=83",0.42838275940127136131,e9114b7b32abc017d6ccc15cb52bdd528ed6b7788b82ee14470d6bb759988ab8,false,formal exact root-box upper-envelope gap
165,"s=77,j=82",0.43317526865053753421,9ef4a54c6277d9907664fe3dd477c2fce48507701412299992e2fd759baae07f,false,formal exact root-box upper-envelope gap
166,"s=75,j=81",0.43808813719077319242,65ccae02a5bd7aaef5d92fa1419bafef908973ace65303983bc06398b66747b0,false,formal exact root-box upper-envelope gap
167,"s=76,j=83",0.44216742174147882357,4e9bde98f974ec879cc0f9d9f2a8ffd7107216c5f61f1b13c6659898d94602fa,false,formal exact root-box upper-envelope gap
168,"s=74,j=82",0.44713131265670855909,75ead968ed2b1698c7dc9456b84e176319bbf4fa7326c4dc5a005a3f23849473,false,formal exact root-box upper-envelope gap
