x,phi,cRho,aboveThreshold
0.095,0.116221020874073694520135095797,0.113083091627041126869487538794,1
0.096,0.1175404000411692070940312547,0.113083091627041126869487538794,1
0.097,0.118861779208264719667927413603,0.113083091627041126869487538794,1
0.098,0.120185158375360232241823572506,0.113083091627041126869487538794,1
0.099,0.121510537542455744815719731409,0.113083091627041126869487538794,1
0.1,0.122837916709551257389615890312,0.113083091627041126869487538794,1
0.101,0.124167295876646769963512049215,0.113083091627041126869487538794,1
0.10200000000000001,0.125498675043742295861199879074,0.113083091627041126869487538794,1
0.10300000000000001,0.126832054210837808455096037977,0.113083091627041126869487538794,1
0.10400000000000001,0.12816743337793332104899219688,0.113083091627041126869487538794,1
0.105,0.129504812545028820259096684828,0.113083091627041126869487538794,1
0.106,0.130844191712124332832992843731,0.113083091627041126869487538794,1
0.107,0.132185570879219845406889002634,0.113083091627041126869487538794,1
0.108,0.133528950046315357980785161537,0.113083091627041126869487538794,1
0.109,0.13487432921341087055468132044,0.113083091627041126869487538794,1
0.11,0.136221708380506383128577479343,0.113083091627041126869487538794,1
0.111,0.137571087547601895702473638246,0.113083091627041126869487538794,1
0.112,0.13892246671469740827636979715,0.113083091627041126869487538794,1
0.113,0.140275845881792920850265956053,0.113083091627041126869487538794,1
0.114,0.141631225048888433424162114956,0.113083091627041126869487538794,1
0.115,0.142988604215983945998058273859,0.113083091627041126869487538794,1
0.116,0.144347983383079458571954432762,0.113083091627041126869487538794,1
0.117,0.145709362550174971145850591665,0.113083091627041126869487538794,1
0.11800000000000001,0.147072741717270497363538421523,0.113083091627041126869487538794,1
