amplitude,minimumMean,pointwiseExcludedByUpperBand,j-2Mean,j-2StandardError,j-2Ci95Lower,j-2Ci95Upper,j0Mean,j0StandardError,j0Ci95Lower,j0Ci95Upper
0.014,-0.0018563359263515824,True,-0.0018563359263515824,8.379420727162362e-05,-0.0020205725726039647,-0.0016920992800992002,-2.252616134649145e-05,1.5444980626638358e-06,-2.5553377549312568e-05,-1.949894514367033e-05
0.01425,-0.0018546575365728974,True,-0.0018546575365728974,8.374321716933541e-05,-0.002018794242224795,-0.001690520830921,-2.292738819165694e-05,1.571208604283839e-06,-2.6006957056053265e-05,-1.9847819327260614e-05
0.0145,-0.001852975386764613,True,-0.001852975386764613,8.36923245816778e-05,-0.0020170123429447016,-0.0016889384305845245,-2.332882562856949e-05,1.597887486506067e-06,-2.646068510212138e-05,-2.01969661550176e-05
0.014750000000000001,-0.0018512893972258682,True,-0.0018512893972258682,8.364153053991699e-05,-0.0020152267970841055,-0.0016873519973676309,-2.373048641204001e-05,1.6245346557087134e-06,-2.691457433722909e-05,-2.0546398486850935e-05
0.015,-0.001849599488255803,True,-0.001849599488255803,8.359083609602537e-05,-0.0020134375270040128,-0.0016857614495075933,-2.413238329687942e-05,1.6511500587236625e-06,-2.73686374119778e-05,-2.089612918178104e-05
0.01525,-0.0018479055801535575,True,-0.0018479055801535575,8.354024232339345e-05,-0.0020116444551074087,-0.0016841667051997063,-2.4534529037898625e-05,1.677733642844179e-06,-2.7822886977873214e-05,-2.1246171097924036e-05
0.0155,-0.00184620759321827,True,-0.00184620759321827,8.348975031755546e-05,-0.0020098475038406787,-0.0016825676825958612,-2.4936936389908548e-05,1.7042853558326178e-06,-2.8277335687340477e-05,-2.1596537092476618e-05
0.01575,-0.0018445054477490813,True,-0.0018445054477490813,8.343936119692786e-05,-0.00200804659569506,-0.0016809642998031026,-2.5339618107720087e-05,1.7308051459281685e-06,-2.8731996193739296e-05,-2.1947240021700877e-05
0.016,-0.0018427990640451303,True,-0.0018427990640451303,8.338907610356209e-05,-0.002006241653208112,-0.0016793564748821487,-2.574258694614418e-05,1.7572929618546354e-06,-2.9186881151379263e-05,-2.2298292740909095e-05
0.01625,-0.001841088362405557,True,-0.001841088362405557,8.33388962039098e-05,-0.0020044325989652203,-0.0016777441258458937,-2.6145855659991708e-05,1.7837487528282388e-06,-2.9642003215535055e-05,-2.264970810444836e-05
