azimuthOverPi,mu,D,sign
1.76666666667,-0.988888888889,-0.065596903846452795,-1
1.775,-0.988888888889,-0.063667362955347945,-1
1.78333333333,-0.988888888889,-0.06169418763392924,-1
1.79166666667,-0.988888888889,-0.059678730197999671,-1
1.8,-0.988888888889,-0.057622371941411496,-1
1.80833333333,-0.988888888889,-0.055526522189396368,-1
1.81666666667,-0.988888888889,-0.053392617332684376,-1
1.825,-0.988888888889,-0.051222119843073233,-1
1.83333333333,-0.988888888889,-0.049016517271123619,-1
1.84166666667,-0.988888888889,-0.046777321226666051,-1
1.85,-0.988888888889,-0.044506066342819055,-1
1.85833333333,-0.988888888889,-0.042204309224228319,-1
1.86666666667,-0.988888888889,-0.039873627380247648,-1
1.875,-0.988888888889,-0.03751561814379261,-1
1.88333333333,-0.988888888889,-0.035131897576608756,-1
1.89166666667,-0.988888888889,-0.032724099361703333,-1
1.9,-0.988888888889,-0.03029387368370064,-1
1.90833333333,-0.988888888889,-0.027842886097887886,-1
1.91666666667,-0.988888888889,-0.025372816388726922,-1
1.925,-0.988888888889,-0.022885357418613497,-1
1.93333333333,-0.988888888889,-0.020382213967674461,-1
1.94166666667,-0.988888888889,-0.01786510156539629,-1
1.95,-0.988888888889,-0.015335745314886932,-1
1.95833333333,-0.988888888889,-0.012795878710576318,-1
1.96666666667,-0.988888888889,-0.010247242450165967,-1
1.975,-0.988888888889,-0.0076915832416413659,-1
1.98333333333,-0.988888888889,-0.0051306526061661011,-1
1.99166666667,-0.988888888889,-0.0025662056776763853,-1
2,-0.988888888889,-2.4011168392572976e-17,-1
0,-0.977777777778,0,0
0.00833333333333,-0.977777777778,0.0035783482999204594,1
0.0166666666667,-0.977777777778,0.0071542441786586397,1
0.025,-0.977777777778,0.010725236895799238,1
0.0333333333333,-0.977777777778,0.014288879071308991,1
0.0416666666667,-0.977777777778,0.017842728362848705,1
0.05,-0.977777777778,0.021384349139632691,1
0.0583333333333,-0.977777777778,0.024911314151688447,1
0.0666666666667,-0.977777777778,0.028421206193372541,1
0.075,-0.977777777778,0.031911619760002626,1
0.0833333333333,-0.977777777778,0.03538016269647018,1
0.0916666666667,-0.977777777778,0.038824457836704136,1
0.1,-0.977777777778,0.042242144632861744,1
0.108333333333,-0.977777777778,0.045630880773130204,1
0.116666666667,-0.977777777778,0.048988343787030104,1
0.125,-0.977777777778,0.052312232637120766,1
0.133333333333,-0.977777777778,0.055600269296016254,1
0.141666666667,-0.977777777778,0.058850200307631682,1
0.15,-0.977777777778,0.062059798331589366,1
0.158333333333,-0.977777777778,0.065226863669726659,1
0.166666666667,-0.977777777778,0.068349225773659247,1
0.175,-0.977777777778,0.07142474473236661,1
0.183333333333,-0.977777777778,0.074451312738779973,1
0.191666666667,-0.977777777778,0.077426855534368275,1
0.2,-0.977777777778,0.080349333830731035,1
0.208333333333,-0.977777777778,0.083216744707224968,1
0.216666666667,-0.977777777778,0.086027122983665744,1
0.225,-0.977777777778,0.088778542567164193,1
0.233333333333,-0.977777777778,0.09146911777217423,1
0.241666666667,-0.977777777778,0.094097004612847618,1
0.25,-0.977777777778,0.09666040206680962,1
0.258333333333,-0.977777777778,0.09915755330948986,1
0.266666666667,-0.977777777778,0.10158674691816207,1
0.275,-0.977777777778,0.10394631804486779,1
0.283333333333,-0.977777777778,0.10623464955741999,1
0.291666666667,-0.977777777778,0.10845017314770472,1
0.3,-0.977777777778,0.11059137040652102,1
0.308333333333,-0.977777777778,0.11265677386422288,1
0.316666666667,-0.977777777778,0.11464496799644963,1
0.325,-0.977777777778,0.11655459019425557,1
0.333333333333,-0.977777777778,0.11838433169797404,1
0.341666666667,-0.977777777778,0.12013293849417603,1
0.35,-0.977777777778,0.12179921217510829,1
0.358333333333,-0.977777777778,0.12338201076002211,1
0.366666666667,-0.977777777778,0.12488024947783,1
0.375,-0.977777777778,0.12629290151055342,1
0.383333333333,-0.977777777778,0.12761899869705268,1
0.391666666667,-0.977777777778,0.12885763219655622,1
0.4,-0.977777777778,0.1300079531115346,1
0.408333333333,-0.977777777778,0.13106917306949248,1
0.416666666667,-0.977777777778,0.13204056476327977,1
0.425,-0.977777777778,0.13292146244955175,1
0.433333333333,-0.977777777778,0.13371126240503597,1
0.441666666667,-0.977777777778,0.13440942334029438,1
0.45,-0.977777777778,0.13501546677069587,1
0.458333333333,-0.977777777778,0.13552897734434574,1
0.466666666667,-0.977777777778,0.13594960312674728,1
0.475,-0.977777777778,0.13627705584199995,1
0.483333333333,-0.977777777778,0.13651111107036934,1
0.491666666667,-0.977777777778,0.13665160840209326,1
0.5,-0.977777777778,0.13669845154731852,1
0.508333333333,-0.977777777778,0.13665160840209326,1
0.516666666667,-0.977777777778,0.13651111107036934,1
0.525,-0.977777777778,0.13627705584199995,1
0.533333333333,-0.977777777778,0.13594960312674728,1
0.541666666667,-0.977777777778,0.13552897734434577,1
0.55,-0.977777777778,0.13501546677069587,1
0.558333333333,-0.977777777778,0.1344094233402944,1
0.566666666667,-0.977777777778,0.133711262405036,1
0.575,-0.977777777778,0.13292146244955177,1
0.583333333333,-0.977777777778,0.1320405647632798,1
0.591666666667,-0.977777777778,0.13106917306949248,1
0.6,-0.977777777778,0.1300079531115346,1
0.608333333333,-0.977777777778,0.12885763219655624,1
0.616666666667,-0.977777777778,0.1276189986970527,1
0.625,-0.977777777778,0.12629290151055342,1
0.633333333333,-0.977777777778,0.12488024947783002,1
0.641666666667,-0.977777777778,0.12338201076002214,1
0.65,-0.977777777778,0.12179921217510829,1
0.658333333333,-0.977777777778,0.12013293849417607,1
0.666666666667,-0.977777777778,0.11838433169797405,1
0.675,-0.977777777778,0.11655459019425558,1
0.683333333333,-0.977777777778,0.11464496799644967,1
0.691666666667,-0.977777777778,0.1126567738642229,1
0.7,-0.977777777778,0.11059137040652102,1
0.708333333333,-0.977777777778,0.10845017314770475,1
0.716666666667,-0.977777777778,0.10623464955742001,1
0.725,-0.977777777778,0.1039463180448678,1
0.733333333333,-0.977777777778,0.10158674691816209,1
0.741666666667,-0.977777777778,0.099157553309489874,1
0.75,-0.977777777778,0.096660402066809634,1
0.758333333333,-0.977777777778,0.094097004612847659,1
0.766666666667,-0.977777777778,0.091469117772174272,1
0.775,-0.977777777778,0.088778542567164206,1
0.783333333333,-0.977777777778,0.086027122983665785,1
0.791666666667,-0.977777777778,0.083216744707225024,1
0.8,-0.977777777778,0.080349333830731048,1
0.808333333333,-0.977777777778,0.077426855534368316,1
0.816666666667,-0.977777777778,0.074451312738780029,1
0.825,-0.977777777778,0.071424744732366624,1
0.833333333333,-0.977777777778,0.068349225773659303,1
0.841666666667,-0.977777777778,0.065226863669726687,1
0.85,-0.977777777778,0.062059798331589366,1
0.858333333333,-0.977777777778,0.058850200307631738,1
0.866666666667,-0.977777777778,0.055600269296016296,1
0.875,-0.977777777778,0.05231223263712078,1
0.883333333333,-0.977777777778,0.048988343787030167,1
0.891666666667,-0.977777777778,0.045630880773130239,1
0.9,-0.977777777778,0.042242144632861765,1
0.908333333333,-0.977777777778,0.038824457836704185,1
0.916666666667,-0.977777777778,0.035380162696470215,1
0.925,-0.977777777778,0.031911619760002646,1
0.933333333333,-0.977777777778,0.0284212061933726,1
0.941666666667,-0.977777777778,0.024911314151688485,1
0.95,-0.977777777778,0.021384349139632709,1
0.958333333333,-0.977777777778,0.017842728362848764,1
0.966666666667,-0.977777777778,0.014288879071309027,1
0.975,-0.977777777778,0.010725236895799255,1
0.983333333333,-0.977777777778,0.0071542441786586969,1
0.991666666667,-0.977777777778,0.0035783482999204967,1
1,-0.977777777778,1.6740732113582318e-17,1
1.00833333333,-0.977777777778,-0.0035783482999204026,-1
1.01666666667,-0.977777777778,-0.0071542441786586032,-1
1.025,-0.977777777778,-0.01072523689579922,-1
1.03333333333,-0.977777777778,-0.014288879071308934,-1
1.04166666667,-0.977777777778,-0.01784272836284867,-1
1.05,-0.977777777778,-0.021384349139632674,-1
1.05833333333,-0.977777777778,-0.024911314151688388,-1
1.06666666667,-0.977777777778,-0.028421206193372506,-1
1.075,-0.977777777778,-0.031911619760002612,-1
1.08333333333,-0.977777777778,-0.035380162696470124,-1
1.09166666667,-0.977777777778,-0.038824457836704102,-1
1.1,-0.977777777778,-0.042242144632861731,-1
1.10833333333,-0.977777777778,-0.045630880773130156,-1
1.11666666667,-0.977777777778,-0.048988343787030077,-1
1.125,-0.977777777778,-0.052312232637120752,-1
1.13333333333,-0.977777777778,-0.055600269296016212,-1
1.14166666667,-0.977777777778,-0.058850200307631648,-1
1.15,-0.977777777778,-0.062059798331589353,-1
1.15833333333,-0.977777777778,-0.065226863669726604,-1
1.16666666667,-0.977777777778,-0.068349225773659233,-1
1.175,-0.977777777778,-0.07142474473236661,-1
1.18333333333,-0.977777777778,-0.074451312738779946,-1
