p,mu,c,norm,gain,N,dtMax,finiteDimensionalOnly
0.5,1e-14,1e-07,kinetic_over,398.28694076356703,10,0.0025,True
0.75,1e-08,1e-06,raw_q,12.84804803278831,10,0.0025,True
0.75,1e-08,1e-06,xmu,0.9999999925000516,10,0.0025,True
0.75,1e-08,1e-06,hminus1,0.9999999925000516,10,0.0025,True
0.75,1e-08,1e-06,balanced_l2,1.000001037189892,10,0.0025,True
0.75,1e-08,1e-06,kinetic,1.0000010109818722,10,0.0025,True
0.75,1e-08,1e-06,kinetic_under,0.9999999926018769,10,0.0025,True
0.75,1e-08,1e-06,kinetic_over,1.0100767961560813,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,raw_q,22.789993080896064,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,xmu,0.9999999992500013,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,hminus1,0.999999999250001,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,balanced_l2,1.0000003296101991,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,kinetic,1.0000003213224888,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,kinetic_under,0.9999999992601852,10,0.0025,True
0.75,1e-09,1.778279410038923e-07,kinetic_over,1.0100768032415626,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,raw_q,40.49459786509382,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,xmu,0.9999999999249936,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,hminus1,0.9999999999249933,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,balanced_l2,1.000000104394086,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,kinetic,1.000000101773281,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,kinetic_under,0.9999999999260119,10,0.0025,True
0.75,1e-10,3.162277660168379e-08,kinetic_over,1.010076803950107,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,raw_q,71.99248723451832,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,xmu,0.9999999999925058,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,hminus1,0.9999999999925054,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,balanced_l2,1.0000000330285364,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,kinetic,1.000000032199765,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,kinetic_under,0.9999999999926076,10,0.0025,True
0.75,1e-11,5.62341325190349e-09,kinetic_over,1.0100768040209747,10,0.0025,True
0.75,1e-12,1e-09,raw_q,128.01250784409643,10,0.0025,True
0.75,1e-12,1e-09,xmu,0.9999999999992337,10,0.0025,True
0.75,1e-12,1e-09,hminus1,0.9999999999992337,10,0.0025,True
0.75,1e-12,1e-09,balanced_l2,1.0000000104461442,10,0.0025,True
0.75,1e-12,1e-09,kinetic,1.0000000101840636,10,0.0025,True
0.75,1e-12,1e-09,kinetic_under,0.999999999999244,10,0.0025,True
0.75,1e-12,1e-09,kinetic_over,1.0100768040280386,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,raw_q,227.6362425149531,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,xmu,0.9999999999999335,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,hminus1,0.9999999999999335,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,balanced_l2,1.0000000033035366,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,kinetic,1.0000000032206595,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,kinetic_under,0.9999999999999343,10,0.0025,True
0.75,1e-13,1.778279410038923e-10,kinetic_over,1.010076804028771,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,raw_q,404.79760139086176,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,xmu,1.0,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,hminus1,1.0000000000000002,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,balanced_l2,1.000000001044691,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,kinetic,1.0000000010184826,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,kinetic_under,1.0,10,0.0025,True
0.75,1e-14,3.1622776601683794e-11,kinetic_over,1.0100768040288406,10,0.0025,True
1.0,1e-08,1e-08,raw_q,1.010334795364807,10,0.0025,True
1.0,1e-08,1e-08,xmu,0.9999999924999995,10,0.0025,True
