branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
viscous,40,0.00050000000000000001,5,0.00017361111111111112,0.16961643486152733,-2.61376319252557e-16,2.9452323587965615e-05,1,0.27123662402296433,3.6389280880847202e-16,true
viscous,40,0.00050000000000000001,6,0.00020833333333333332,0.1696048580865247,1.1926291748292457e-16,3.5341582142316827e-05,1,0.27124461973339348,4.0030509342070686e-16,true
viscous,40,0.00050000000000000001,7,0.00024305555555555555,0.16959328261596268,-2.2412960154631862e-16,4.1230438747960858e-05,1,0.27125261627097735,4.4060309748687152e-16,true
viscous,40,0.00050000000000000001,8,0.00027777777777777778,0.16958170844965237,-2.1647098689521847e-16,4.7118893450187523e-05,1,0.27126061363568843,4.0420142668441153e-16,true
viscous,40,0.00050000000000000001,9,0.00031250000000000001,0.16957013558740561,-2.5646901164341567e-16,5.3006946294280044e-05,1,0.27126861182750661,4.7995026320987926e-16,true
viscous,40,0.00050000000000000001,10,0.00034722222222222224,0.1695585640290371,-1.3936886925607662e-16,5.8894597325515218e-05,1,0.27127661084641114,3.4381392884662258e-16,true
viscous,40,0.00050000000000000001,11,0.00038194444444444446,0.16954699377435453,1.8325482979484399e-16,6.4781846589163236e-05,1,0.27128461069237603,4.1532201754942775e-16,true
viscous,40,0.00050000000000000001,12,0.00041666666666666664,0.1695354248231703,9.8198620560141755e-17,7.0668694130487716e-05,1,0.27129261136538058,3.4650705651085769e-16,true
viscous,40,0.00050000000000000001,13,0.00045138888888888887,0.16952385717529675,-1.8188426399640576e-16,7.6555139994745778e-05,1,0.27130061286540713,3.742205816019454e-16,true
viscous,40,0.00050000000000000001,14,0.0004861111111111111,0.16951229083054503,2.4838845390698723e-16,8.2441184227187967e-05,1,0.271308615192423,3.3877989736251616e-16,true
viscous,40,0.00050000000000000001,15,0.00052083333333333333,0.16950072578872838,-9.4678807492543697e-17,8.832682687305834e-05,1,0.27131661834641496,3.0067550936951772e-16,true
viscous,40,0.00050000000000000001,16,0.00055555555555555556,0.16948916204965636,-1.2646031242761006e-16,9.4212067977594377e-05,1,0.27132462232735616,3.1840492923346584e-16,true
viscous,40,0.00050000000000000001,17,0.00059027777777777778,0.16947759961314274,5.4704879922163726e-17,0.00010009690758602706,1,0.27133262713522427,2.8102735849160998e-16,true
viscous,40,0.00050000000000000001,18,0.00062500000000000001,0.16946603847899833,-1.1498079540959677e-16,0.00010598134574358081,1,0.27134063276999648,3.2601199014282083e-16,true
viscous,40,0.00050000000000000001,19,0.00065972222222222224,0.16945447864703472,-3.5266440874356096e-16,0.0001118653824954735,1,0.27134863923165337,3.2885461887331288e-16,true
viscous,40,0.00050000000000000001,20,0.00069444444444444447,0.16944292011706436,7.0346471105502172e-17,0.00011774901788691648,1,0.271356646520168,4.0175896938448485e-16,true
viscous,40,0.00050000000000000001,21,0.0007291666666666667,0.16943136288890034,-3.1004989392910574e-16,0.00012363225196311464,1,0.27136465463551668,4.1704385577755802e-16,true
viscous,40,0.00050000000000000001,22,0.00076388888888888893,0.16941980696235259,-3.007056993214816e-16,0.00012951508476926623,1,0.27137266357768286,3.9906291123919639e-16,true
viscous,40,0.00050000000000000001,23,0.00079861111111111116,0.1694082523372335,1.2287602247053105e-16,0.00013539751635056305,1,0.2713806733466404,3.4483462160491205e-16,true
viscous,40,0.00050000000000000001,24,0.00083333333333333328,0.16939669901335594,-2.2279927733131479e-16,0.0001412795467521903,1,0.27138868394236487,3.2770563804089313e-16,true
viscous,40,0.00050000000000000001,25,0.00086805555555555551,0.16938514699053137,4.2188903449648997e-16,0.00014716117601932678,1,0.27139669536483657,3.6286921395413759e-16,true
viscous,40,0.00050000000000000001,26,0.00090277777777777774,0.16937359626857165,1.6379182454433223e-16,0.00015304240419714463,1,0.27140470761402857,3.8205827034421833e-16,true
viscous,40,0.00050000000000000001,27,0.00093749999999999997,0.16936204684729073,1.0731681247280749e-16,0.00015892323133080954,1,0.27141272068992217,3.0898202048038777e-16,true
viscous,40,0.00050000000000000001,28,0.00097222222222222219,0.16935049872649868,-1.105379322653023e-16,0.00016480365746548065,1,0.27142073459249466,3.9563611157883806e-16,true
viscous,40,0.00050000000000000001,29,0.0010069444444444444,0.16933895190600937,2.0561139846458716e-16,0.00017068368264631063,1,0.2714287493217209,3.4368595172538845e-16,true
viscous,40,0.00050000000000000001,30,0.0010416666666666667,0.16932740638563246,1.5706572466653832e-18,0.00017656330691844557,1,0.27143676487757556,3.5441780310944795e-16,true
viscous,40,0.00050000000000000001,31,0.0010763888888888889,0.16931586216518271,-3.8427648565870917e-17,0.00018244253032702502,1,0.27144478126004323,3.2810946320779792e-16,true
viscous,40,0.00050000000000000001,32,0.0011111111111111111,0.16930431924447298,1.796480875201885e-16,0.00018832135291718213,1,0.27145279846909282,3.7009135391163673e-16,true
viscous,40,0.00050000000000000001,33,0.0011458333333333333,0.16929277762331235,-5.6220750943212208e-17,0.00019419977473404343,1,0.27146081650470538,3.3691354379422126e-16,true
viscous,40,0.00050000000000000001,34,0.0011805555555555556,0.1692812373015159,-2.8062848380982259e-16,0.00020007779582272893,1,0.27146883536685817,3.2069224273351938e-16,true
viscous,40,0.00050000000000000001,35,0.0012152777777777778,0.16926969827889676,-1.8612826045076049e-16,0.00020595541622835218,1,0.2714768550555281,4.3052370518260771e-16,true
viscous,40,0.00050000000000000001,36,0.00125,0.16925816055526266,6.8471611308596033e-17,0.00021183263599602019,1,0.27148487557069029,3.3875986207928542e-16,true
viscous,40,0.00050000000000000001,37,0.0012847222222222223,0.16924662413043212,3.637923127123529e-18,0.00021770945517083346,1,0.27149289691232459,2.9370135770622966e-16,true
viscous,40,0.00050000000000000001,38,0.0013194444444444445,0.16923508900421311,-2.582165495572897e-17,0.00022358587379788601,1,0.27150091908040286,3.4233812718424462e-16,true
viscous,40,0.00050000000000000001,39,0.0013541666666666667,0.16922355517642168,-1.3272161119196813e-16,0.00022946189192226527,1,0.27150894207490722,3.6400449241589695e-16,true
