sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
128,8/25,0.32000000000000001,336/625,0.73321211119293439,exact squared-measure presentation row
129,129/400,0.32250000000000001,86559/160000,0.73552277327082138,exact squared-measure presentation row
130,13/40,0.32500000000000001,871/1600,0.73781772816868529,exact squared-measure presentation row
131,131/400,0.32750000000000001,87639/160000,0.74009712200494338,exact squared-measure presentation row
132,33/100,0.33000000000000002,5511/10000,0.74236109811869855,exact squared-measure presentation row
133,133/400,0.33250000000000002,88711/160000,0.74460979714210052,exact squared-measure presentation row
134,67/200,0.33500000000000002,22311/40000,0.74684335707027616,exact squared-measure presentation row
135,27/80,0.33750000000000002,3591/6400,0.74906191332893168,exact squared-measure presentation row
136,17/50,0.34000000000000002,1411/2500,0.751265598839718,exact squared-measure presentation row
137,137/400,0.34250000000000003,90831/160000,0.75345454408345036,exact squared-measure presentation row
138,69/200,0.34499999999999997,22839/40000,0.75562887716126892,exact squared-measure presentation row
139,139/400,0.34749999999999998,91879/160000,0.75778872385381935,exact squared-measure presentation row
140,7/20,0.34999999999999998,231/400,0.75993420767853315,exact squared-measure presentation row
141,141/400,0.35249999999999998,92919/160000,0.76206544994508185,exact squared-measure presentation row
142,71/200,0.35499999999999998,23359/40000,0.76418256980907384,exact squared-measure presentation row
143,143/400,0.35749999999999998,93951/160000,0.76628568432406463,exact squared-measure presentation row
144,9/25,0.35999999999999999,369/625,0.7683749084919419,exact squared-measure presentation row
145,29/80,0.36249999999999999,3799/6400,0.77045035531174888,exact squared-measure presentation row
146,73/200,0.36499999999999999,23871/40000,0.7725121358270044,exact squared-measure presentation row
147,147/400,0.36749999999999999,95991/160000,0.77456035917157551,exact squared-measure presentation row
148,37/100,0.37,6031/10000,0.77659513261415691,exact squared-measure presentation row
149,149/400,0.3725,96999/160000,0.77861656160140846,exact squared-measure presentation row
150,3/8,0.375,39/64,0.78062474979979979,exact squared-measure presentation row
151,151/400,0.3775,97999/160000,0.78261979913620894,exact squared-measure presentation row
152,19/50,0.38,1539/2500,0.78460180983732131,exact squared-measure presentation row
153,153/400,0.38250000000000001,98991/160000,0.78657088046786983,exact squared-measure presentation row
154,77/200,0.38500000000000001,24871/40000,0.78852710796776038,exact squared-measure presentation row
155,31/80,0.38750000000000001,3999/6400,0.79047058768811884,exact squared-measure presentation row
156,39/100,0.39000000000000001,6279/10000,0.79240141342630122,exact squared-measure presentation row
157,157/400,0.39250000000000002,100951/160000,0.79431967745990029,exact squared-measure presentation row
158,79/200,0.39500000000000002,25359/40000,0.79622547057978488,exact squared-measure presentation row
159,159/400,0.39750000000000002,101919/160000,0.79811888212220616,exact squared-measure presentation row
160,2/5,0.40000000000000002,16/25,0.80000000000000004,exact squared-measure presentation row
161,161/400,0.40250000000000002,102879/160000,0.80186891073292021,exact squared-measure presentation row
162,81/200,0.40500000000000003,25839/40000,0.8037256994771288,exact squared-measure presentation row
163,163/400,0.40749999999999997,103831/160000,0.80557045005387329,exact squared-measure presentation row
164,41/100,0.40999999999999998,6519/10000,0.80740324497737814,exact squared-measure presentation row
165,33/80,0.41249999999999998,4191/6400,0.80922416548197562,exact squared-measure presentation row
166,83/200,0.41499999999999998,26311/40000,0.81103329154850357,exact squared-measure presentation row
167,167/400,0.41749999999999998,105711/160000,0.81283070192998985,exact squared-measure presentation row
168,21/50,0.41999999999999998,1659/2500,0.81461647417665206,exact squared-measure presentation row
169,169/400,0.42249999999999999,106639/160000,0.81639068466023057,exact squared-measure presentation row
170,17/40,0.42499999999999999,1071/1600,0.8181534085976786,exact squared-measure presentation row
171,171/400,0.42749999999999999,107559/160000,0.8199047200742291,exact squared-measure presentation row
172,43/100,0.42999999999999999,6751/10000,0.82164469206585888,exact squared-measure presentation row
173,173/400,0.4325,108471/160000,0.82337339646116814,exact squared-measure presentation row
174,87/200,0.435,27231/40000,0.82509090408269559,exact squared-measure presentation row
175,7/16,0.4375,175/256,0.82679728470768454,exact squared-measure presentation row
176,11/25,0.44,429/625,0.82849260708831918,exact squared-measure presentation row
177,177/400,0.4425,110271/160000,0.83017693897144607,exact squared-measure presentation row
178,89/200,0.44500000000000001,27679/40000,0.83185034711779737,exact squared-measure presentation row
179,179/400,0.44750000000000001,111159/160000,0.83351289732073131,exact squared-measure presentation row
180,9/20,0.45000000000000001,279/400,0.83516465442450327,exact squared-measure presentation row
