N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
91,1/1,1,1/8282,0.010988347541611645,1/2,0.70710678118654757,4232/16745,0.50272473467434353,exact all-index family presentation row
92,1/1,1,1/8465,0.010868923168587331,1/2,0.70710678118654757,8649/34226,0.5026953587774019,exact all-index family presentation row
93,1/1,1,1/8650,0.010752066611409407,1/2,0.70710678118654757,4418/17485,0.50266660952535214,exact all-index family presentation row
94,1/1,1,1/8837,0.010637695937359757,1/2,0.70710678118654757,9025/35722,0.5026384670788987,exact all-index family presentation row
95,1/1,1,1/9026,0.010525732662542539,1/2,0.70710678118654757,4608/18241,0.50261091242745348,exact all-index family presentation row
96,1/1,1,1/9217,0.010416101572318098,1/2,0.70710678118654757,9409/37250,0.50258392734631463,exact all-index family presentation row
97,1/1,1,1/9410,0.010308730552839766,1/2,0.70710678118654757,4802/19013,0.50255749435647235,exact all-index family presentation row
98,1/1,1,1/9605,0.010203550432900877,1/2,0.70710678118654757,9801/38810,0.50253159668685721,exact all-index family presentation row
99,1/1,1,1/9802,0.010100494835363273,1/2,0.70710678118654757,5000/19801,0.50250621823885799,exact all-index family presentation row
100,1/1,1,1/10001,0.0099995000374968751,1/2,0.70710678118654757,10201/40402,0.50248134355295349,exact all-index family presentation row
101,1/1,1,1/10202,0.009900504839612986,1/2,0.70710678118654757,5202/20605,0.50245695777731092,exact all-index family presentation row
102,1/1,1,1/10405,0.0098034504414223622,1/2,0.70710678118654757,10609/42026,0.50243304663821797,exact all-index family presentation row
103,1/1,1,1/10610,0.0097082803255932829,1/2,0.70710678118654757,5408/21425,0.50240959641222471,exact all-index family presentation row
104,1/1,1,1/10817,0.0096149401480251726,1/2,0.70710678118654757,11025/43682,0.50238659389988072,exact all-index family presentation row
105,1/1,1,1/11026,0.009523377634390269,1/2,0.70710678118654757,5618/22261,0.50236402640096256,exact all-index family presentation row
106,1/1,1,1/11237,0.0094335424825295298,1/2,0.70710678118654757,11449/45370,0.50234188169109273,exact all-index family presentation row
107,1/1,1,1/11450,0.0093453862703199546,1/2,0.70710678118654757,5832/23113,0.50232014799966129,exact all-index family presentation row
108,1/1,1,1/11665,0.0092588623686587958,1/2,0.70710678118654757,11881/47090,0.50229881398896492,exact all-index family presentation row
109,1/1,1,1/11882,0.0091739258592361921,1/2,0.70710678118654757,6050/23981,0.50227786873448632,exact all-index family presentation row
110,1/1,1,1/12101,0.0090905334567915868,1/2,0.70710678118654757,12321/48842,0.50225730170624217,exact all-index family presentation row
111,1/1,1,1/12322,0.0090086434355712789,1/2,0.70710678118654757,6272/24865,0.50223710275113209,exact all-index family presentation row
112,1/1,1,1/12545,0.0089282155597246154,1/2,0.70710678118654757,12769/50626,0.50221726207622697,exact all-index family presentation row
113,1/1,1,1/12770,0.008849211017394925,1/2,0.70710678118654757,6498/25765,0.50219777023293899,exact all-index family presentation row
114,1/1,1,1/12997,0.0087715923582783791,1/2,0.70710678118654757,13225/52442,0.50217861810201836,exact all-index family presentation row
115,1/1,1,1/13226,0.0086953234344397806,1/2,0.70710678118654757,6728/26681,0.50215979687932899,exact all-index family presentation row
116,1/1,1,1/13457,0.0086203693441887757,1/2,0.70710678118654757,13689/54290,0.50214129806235397,exact all-index family presentation row
117,1/1,1,1/13690,0.0085466963788334571,1/2,0.70710678118654757,6962/27613,0.50212311343738902,exact all-index family presentation row
118,1/1,1,1/13925,0.0084742719721407154,1/2,0.70710678118654757,14161/56170,0.50210523506738336,exact all-index family presentation row
119,1/1,1,1/14162,0.0084030646523441544,1/2,0.70710678118654757,7200/28561,0.50208765528038879,exact all-index family presentation row
120,1/1,1,1/14401,0.0083330439965510188,1/2,0.70710678118654757,14641/58082,0.50207036665858373,exact all-index family presentation row
121,1/1,1,1/14642,0.0082641805874093793,1/2,0.70710678118654757,7442/29525,0.50205336202783735,exact all-index family presentation row
122,1/1,1,1/14885,0.0081964459719059239,1/2,0.70710678118654757,15129/60026,0.50203663444778412,exact all-index family presentation row
123,1/1,1,1/15130,0.008129812622173143,1/2,0.70710678118654757,7688/30505,0.50202017720237946,exact all-index family presentation row
124,1/1,1,1/15377,0.0080642538981924791,1/2,0.70710678118654757,15625/62002,0.5020039837909096,exact all-index family presentation row
125,1/1,1,1/15626,0.0079997440122873444,1/2,0.70710678118654757,7938/31501,0.50198804791943019,exact all-index family presentation row
126,1/1,1,1/15877,0.0079362579953065424,1/2,0.70710678118654757,16129/64010,0.50197236349261076,exact all-index family presentation row
127,1/1,1,1/16130,0.0078737716644049702,1/2,0.70710678118654757,8192/32513,0.50195692460596109,exact all-index family presentation row
128,1/1,1,1/16385,0.0078122615923342797,1/2,0.70710678118654757,16641/66050,0.50194172553842098,exact all-index family presentation row
129,1/1,1,1/16642,0.0077517050781615669,1/2,0.70710678118654757,8450/33541,0.50192676074529186,exact all-index family presentation row
