replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
13,1,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
13,1,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,1,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,-1.122037148926182e-08,-3.8697137478406366e-10,0.0
13,1,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
13,1,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0,0.0,0.0
13,1,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-5.487109552734563e-06,1.5475693021044451e-06,-3.517457259545262e-05
13,1,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,1,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,-1.214306433183765e-17,2.0816681711721685e-17,-0.008389757493112396
13,1,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,3.469446951953614e-17,0.0,0.043660967764918485
14,-8,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-8,0,1,inner-core,inner-transition,inner-core--inner-transition,-2.8801868275653117e-11,5.76037365512269e-11,-2.8801868275455602e-11,-1.182092794126561e-22
14,-8,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-8,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-8,1,1,inner-transition,inner-transition,inner-transition--inner-transition,5.593654521193895e-06,-1.5034109850447032e-05,1.3287256137312454e-05,-3.846800808059317e-06
14,-8,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-8.149615631775963e-10,1.6299231263552124e-09,-8.149615631776164e-10
14,-8,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-8,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-8,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,0.0,0.0,0.0
14,-8,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-2.879912020664621e-19,1.328147661294743e-18,9.824124280527553e-06
14,-7,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-7,0,1,inner-core,inner-transition,inner-core--inner-transition,2.87077007638477e-07,-5.74154015276971e-07,2.870770076385183e-07,-2.4775713707188285e-20
14,-7,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
14,-7,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
14,-7,1,1,inner-transition,inner-transition,inner-transition--inner-transition,3.016352630936968e-05,-3.959084415062683e-05,-1.1308890626855219e-05,2.0736208468112387e-05
14,-7,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,1.4431817481485368e-05,-2.8863634962970727e-05,1.4431817481485363e-05
14,-7,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
14,-7,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
14,-7,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,-1.0809859591856677e-29,4.863974593148852e-29,-1.302961965960028e-18
14,-7,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-2.5478751053409354e-18,1.1058862159352145e-17,-9.387968042771569e-05
14,-6,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
14,-6,0,1,inner-core,inner-transition,inner-core--inner-transition,4.301813400485546e-05,-8.603626800971119e-05,4.3018134004856176e-05,-3.7947076036992655e-19
