sector,plot_charge,input_charge,minimum_tail_degree,exact,decimal,kind,highlight,classification
9,9,9,81,1128162907295871376405472498283914086919976097076978507195765904109680791981514191721157524573091746684734025674421641991427708513412661267689565597582094383791302496053540994866844317867359629904059560430213138791996214343488694047558128767538199045284655055006679807027411778682578359004020460881383684311242722461973474379147/3599215505774732753251420765817178016050888627816232168551470299106492879495204175725573382117041729384759635577609228132450032321605278774389952449171963649482056798982602760938319885514762421008690114032075951659457482106064088975179215727958236395855767516354894887283156420453576107500470259333201920000000000000000000000000,0.31344689015864690695,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
10,10,10,83,226236645292761092604153766212098933987463713174401019284374739786476289981295150067874325998467252561569376847416344652375901976538635064067015286935101439537687615051472430036590274488138394290690489775265388110595466238863883420262178332321857391707343417334074453207118631087737891017500775320017523893485661093813405935558873/710221448315029999446366552998148640173519464609927971395822611962680211774306954260076068968922545781627876964719063179478988131389097754432147349589193095126493875318962545709725044881223957854742916838382915070840745325818863829403931762991108924305982130316667749770105929479231859537716926683790966784000000000000000000000000,0.31854380887749567108,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
11,11,11,82,35384936421975866964227339681627143721013586283751881069879424484470838032483908260470150623381503630743275087708333094853868169269980350331609810672253634376818427773072990519117204455123558459221746072788040345259060642272292337648252600939282152021272757194159185367280548840532755339022456365802518690578087277108255451437/109520192200318136643102885149087844596275775292652645920141672642131091310124621434397119884299298173548715792756344652416517963294882821009777450933690968899008261362719887433772402498356372840788164880509425221326501981107731023079338227054353381849478334299549655485959951387509679070219963937587200000000000000000000000000,0.32309052523625025888,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
12,12,12,81,3117906120456982639426094589017445063116474057797007848516201691309444890353656612760777700926053019081801936055310233051212502600688660160651693375850105308992665704674233089165348209295730153795062505976239553990472401367516525767373889944669496115237195243710822389470519648326541797527309169539978842511337262175440678256210541/9532838354275679824825760645322687281534668375362987704370999929004527705132243058096056211563008391899744462527507487369021451608339350269891822566596293708132820038625195723432470644829153731043657216948621735786479993416924747996520719113202747086775464379060026106284763189182825778794594399130841251840000000000000000000000000,0.32707007132440629738,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
13,13,13,83,43539790796915223198309359317381044296500563084415654527325601064446857488214672854659544472483158982721665727057118703027096618915587040452825165784625478761305939664658353606623383329319474996345683902045884531533305645730219882743375187030945491220061620448329353322707922462300691483722425154299101733134083573352016345919271/131766502470320964646821252875352252351302312543585894507573768453187423334750826393335077730783403670060830605699269606582372566120426299523589489719701872936269735680698060428520416490022997746705550433837275523347077054882906090798503110016903325474208187442795500884991823651063424775086628327233945600000000000000000000000000,0.33043140692545974746,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
14,14,14,82,180168797032655516946026527300702028827520172987582741681428483372413828620807935085412279093864554799415550238475234929595604746152383349566227983727952881505942836879882429838368617645628924206594564688523060894398546450852514995973507686897259695133162912915938677718556427010191590007244978858187421719899910145783531585175366571/540168445958137310139776685273700172939375489291854625915426182896577292390019157987066402632839657041939457924005479911638991452230361455751905851142346427066132194725962278395570858929521822004063523453288616825976615510716511718556243776566848443538497235968046976092667948751602737304606106969843748044800000000000000000000000000,0.33354187639205135074,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
15,15,15,81,199665794927893112260503575731352258283025693804766075229281292975276453426837461750364620272460325935360919115255125828628571147684266127282296041911782786272929964005117463332722538286175575022256367786233455446377740996947491592200787530117853872367218301877394041054877931069950568593763491381199772766211762117235817132674419659/593675840893968491244533524496403663317728270514913449650673964809389663851927998448812854529339353390925624374020773982612289786316272152192647657685873798931102392559304496745456018004129450819457298680123396714825707897718636613691013399542226464727185843175922856588318790612493519270161817348948390576128000000000000000000000000,0.33632123993328161271,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
16,16,16,83,125834826924209818553778745394424232057466869840722777045029148697458044456335077037738897751115053476314574101682535386543101533382362465085300516233489930923668439474805314333350564392534984752033460270219563796330296029026196882878214250732351256178404571054044046585920347216299081697217019122110810329523074698566090385665610273282627/371557401328989257230521816021309486577447396416149192018957548377714405576961959954022158612955020186217148183245102006773270344922259027701345200003624696318140386326151330864873397524306480255718137604424538610540464691502421537863853731132631359159365809243541462504478713964908648490994095458860684231992934400000000000000000000000000,0.33866860537328252745,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
17,17,17,82,2890703292956237078354572011427934634636671302855412371155096623630182836305939847950522058726078201327823902632338689007340753689418443430101546718836353911322013526762419910067156504812488124177873135200043842718691355158065510150505325797527105973334386908554757516162272260950083788785427895434252158249688254814711890147105683419/8479062302927541411272436503872380518880713800953732341828428332240819837106678433256375501389789824946014182111704975455096262109885111757923224210644043272394118889920844413814924137595294673001151454597084856450052555737639133220642805382489667685284455779263137006006175241275455970759989931554260805222400000000000000000000000000,0.34092252063747335855,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
18,18,18,81,17399236403093890874099166436685719966254031235560510962751849408276193589582459181159428707852473629483271093152813807509481805840911998569901882641515793152800818366217144101034799710788813922683164034984357698002505900669776459325225886507124786988852575560842799876084713994272365609252718598237935128759369042807665101044720712973/50731060911624793461459706384522082022078691922735325837328874007416516704628143720112345098821390364587985791753988773230276956634391930646872038545097094831032681664710639611211945462399259594596172188954413979561238246273634270512559836462830667128901468357084352424657297174473883380937253143065963108761600000000000000000000000000,0.34297008756438079891,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
