mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.25,2.818382931264455,0.8457959450149292,0.7548049140764778
0.25,2.98538261891796,0.8300570072581828,0.7450980889151078
0.25,3.16227766016838,0.8133740279098054,0.7339758434175738
0.25,3.349654391578279,0.7957777595602202,0.721508055674122
0.25,3.548133892335757,0.7773113316966415,0.7077749251367761
0.25,3.758374042884443,0.7580301077505168,0.6928665739726719
0.25,3.981071705534973,0.7380011273376477,0.6768823299423987
0.25,4.216965034285822,0.7173021332108247,0.6599296777578759
0.25,4.466835921509634,0.6960202100384264,0.6421228932669431
0.25,4.731512589614808,0.6742500888342979,0.6235814016869298
0.25,5.011872336272725,0.6520921937781494,0.6044279244770788
0.25,5.308844442309884,0.6296505247702189,0.5847864967449735
0.25,5.623413251903491,0.6070304776528572,0.5647804465893033
0.25,5.95662143529011,0.5843367039591808,0.5445304288147251
0.25,6.309573444801936,0.5616711037869698,0.5241525984468877
0.25,6.683439175686149,0.5391310303907217,0.5037569958213141
0.25,7.07945784384138,0.5168077654564189,0.4834461967774998
0.25,7.498942093324558,0.494785302185654,0.4633142610079011
0.25,7.943282347242821,0.473139451598996,0.4434459911605249
0.25,8.413951416451956,0.4519372678186835,0.4239164967700305
0.25,8.912509381337459,0.4312367718835337,0.4047910418375248
0.25,9.440608762859236,0.4110869416291149,0.3861251436220713
0.25,10,0.391527927493642,0.3679648831072544
0.25,10.5925372517729,0.3725914504783551,0.3503473843708896
0.25,11.22018454301964,0.3543013382794951,0.3333014201168198
0.25,11.88502227437019,0.3366741580345689,0.3168481031694009
0.25,12.58925411794167,0.3197199083729407,0.3010016279971106
0.25,13.33521432163324,0.3034427387763681,0.2857700315955321
0.25,14.12537544622755,0.2878416700053803,0.2711559487121988
0.25,14.96235656094434,0.2729112950440366,0.2571573419678186
0.25,15.84893192461114,0.2586424453164516,0.2437681925932998
0.25,16.78804018122561,0.2450228116223117,0.2309791420595611
0.25,17.78279410038923,0.2320375132213953,0.2187780787306866
0.25,18.83649089489802,0.2196696117459276,0.2071506668021038
0.25,19.95262314968881,0.207900569167617,0.1960808172295181
0.25,21.13489039836648,0.1967106509615083,0.1855511021800043
0.25,22.3872113856834,0.1860792769774552,0.1755431158296407
0.25,23.71373705661655,0.1759853234438905,0.1660377851830587
