certificateId,s,d,mu,c,gain,bound,sourceCommit,certificateCommit
R073A-XMU-N05-M02-C05-T02,0,0.75,0.050000000000000003,4,1.492533590109097,258.87879885318574,pending,pending
R073A-XMU-N05-M02-C05-T03,0.5,2,0.050000000000000003,4,1.1773276773134105,32.896533140478212,pending,pending
R073A-XMU-N05-M03-C01-T01,0,0.10000000000000001,0.25,-4,1.0635635334542852,3.6711243651693888,pending,pending
R073A-XMU-N05-M03-C01-T02,0,0.75,0.25,-4,1.1462597855242886,222.81904710027499,pending,pending
R073A-XMU-N05-M03-C01-T03,0.5,2,0.25,-4,0.81155688842792473,24.37035114772624,pending,pending
R073A-XMU-N05-M03-C02-T01,0,0.10000000000000001,0.25,-1,0.98343358367677958,1.3584909599393566,pending,pending
R073A-XMU-N05-M03-C02-T02,0,0.75,0.25,-1,0.85236719941934525,3.3567223221951612,pending,pending
R073A-XMU-N05-M03-C02-T03,0.5,2,0.25,-1,0.69523305318132356,1.6771431150752962,pending,pending
R073A-XMU-N05-M03-C03-T01,0,0.10000000000000001,0.25,0,0.9753099120283325,0.97530991202833262,pending,pending
R073A-XMU-N05-M03-C03-T02,0,0.75,0.25,0,0.82902911818040059,0.82902911818040037,pending,pending
R073A-XMU-N05-M03-C03-T03,0.5,2,0.25,0,0.68728927879097301,0.68728927879097224,pending,pending
R073A-XMU-N05-M03-C04-T01,0,0.10000000000000001,0.25,1,0.98343358367677935,1.3584909599393566,pending,pending
R073A-XMU-N05-M03-C04-T02,0,0.75,0.25,1,0.85236719941934525,3.3567223221951612,pending,pending
R073A-XMU-N05-M03-C04-T03,0.5,2,0.25,1,0.69523305318132322,1.6771431150752962,pending,pending
R073A-XMU-N05-M03-C05-T01,0,0.10000000000000001,0.25,4,1.0635635334542848,3.6711243651693888,pending,pending
R073A-XMU-N05-M03-C05-T02,0,0.75,0.25,4,1.1462597855242891,222.81904710027499,pending,pending
R073A-XMU-N05-M03-C05-T03,0.5,2,0.25,4,0.81155688842792473,24.37035114772624,pending,pending
R073A-XMU-N05-M04-C01-T01,0,0.10000000000000001,1,-4,0.93107509930665067,3.4058617172879435,pending,pending
R073A-XMU-N05-M04-C01-T02,0,0.75,1,-4,0.49797789285798866,126.95846606064727,pending,pending
R073A-XMU-N05-M04-C01-T03,0.5,2,1,-4,0.22793546723914504,7.9118946304987139,pending,pending
R073A-XMU-N05-M04-C02-T01,0,0.10000000000000001,1,-1,0.90665142339781701,1.2603311393199612,pending,pending
R073A-XMU-N05-M04-C02-T02,0,0.75,1,-1,0.47403065667927724,1.9126027265777024,pending,pending
R073A-XMU-N05-M04-C02-T03,0.5,2,1,-1,0.22343572567904468,0.54448865042226358,pending,pending
R073A-XMU-N05-M04-C03-T01,0,0.10000000000000001,1,0,0.90483741803595963,0.90483741803595952,pending,pending
R073A-XMU-N05-M04-C03-T02,0,0.75,1,0,0.47236655274102241,0.47236655274101469,pending,pending
R073A-XMU-N05-M04-C03-T03,0.5,2,1,0,0.22313016014843684,0.22313016014842982,pending,pending
R073A-XMU-N05-M04-C04-T01,0,0.10000000000000001,1,1,0.9066514233978169,1.2603311393199612,pending,pending
R073A-XMU-N05-M04-C04-T02,0,0.75,1,1,0.4740306566792773,1.9126027265777024,pending,pending
R073A-XMU-N05-M04-C04-T03,0.5,2,1,1,0.22343572567904466,0.54448865042226358,pending,pending
R073A-XMU-N05-M04-C05-T01,0,0.10000000000000001,1,4,0.93107509930665044,3.4058617172879435,pending,pending
R073A-XMU-N05-M04-C05-T02,0,0.75,1,4,0.49797789285798882,126.95846606064727,pending,pending
R073A-XMU-N05-M04-C05-T03,0.5,2,1,4,0.22793546723914501,7.9118946304987139,pending,pending
