degree,exact,decimal
769,6993463120/1293306507,5.40742900630902
770,70102528/12966723,5.406341139546206
771,780784720/144449163,5.405256103837722
772,440243260/81463563,5.404173888146778
773,7060741840/1306795923,5.403094481493879
774,21844480/4043763,5.402017872956452
775,283780048/52542675,5.400944051668477
776,111115795/20577483,5.399873006820124
777,792037840/146706147,5.39880472765739
778,1786322560/330939027,5.397739203481734
779,7162259920/1327161267,5.396676423649726
780,1994236/369603,5.395616377572693
781,7196259280/1333984707,5.39455905471636
782,1803322240/334350747,5.393504444600508
783,9918160/1839267,5.392452536798626
784,113240755/21003948,5.391403320937568
785,290579920/53907363,5.390356786697208
786,202266880/37531107,5.389312923810108
787,7298737360/1354560003,5.388271722061175
788,457242940/84875283,5.387233171287335
789,814784080/151272603,5.386197261377197
790,73502464/13649067,5.38516398227073
791,7367456080/1368364347,5.384133323958929
792,1424515/264627,5.383105276483503
793,7401935440/1375292763,5.382079829936544
794,1854801280/344690883,5.381056974460215
795,33051088/6143283,5.380036700246432
796,465862780/86607387,5.37901899753655
797,7471134160/1389202083,5.378003856621053
798,208013440/38685843,5.376991267839245
799,7505853520/1396182987,5.375981221578945
800,4702027/874800,5.374973708276177
