N,epsilon,absoluteLambda,fastStep,physicalTime,fastTime,finiteTopDimension,finiteTopSpectralAbscissa,finiteTopRealGap,projectorIdempotenceResidual,projectorCommutatorResidual,logFullNorm,logTopConorm,normalizedFullRate,normalizedTopRate,topConormNoLargerThanFullNorm,r073bUpperLogBound,r073bUpperSlack
24,0.001,1000.0,0.25,0.009,9.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,1.951156195387668,1.50517884660388,0.216795132820852,0.1672420940670978,True,312.5,310.5488438046123
24,0.001,1000.0,0.25,0.01,10.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,2.1283700844858995,1.670670398344237,0.21283700844858996,0.1670670398344237,True,312.5,310.3716299155141
24,0.0001,10000.0,0.25,0.0,0.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,True,3125.0,3125.0
24,0.0001,10000.0,0.25,0.001,10.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,2.1722527127730387,1.7007117611433773,0.21722527127730387,0.17007117611433772,True,3125.0,3122.827747287227
24,0.0001,10000.0,0.25,0.002,20.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,3.9150181193628946,3.3979757954684637,0.19575090596814473,0.1698987897734232,True,3125.0,3121.0849818806373
24,0.0001,10000.0,0.25,0.003,30.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,5.610048185491733,5.091939044659272,0.18700160618305778,0.1697313014886424,True,3125.0,3119.389951814508
24,0.0001,10000.0,0.25,0.004,40.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,7.299013872042111,6.782590085944495,0.18247534680105276,0.16956475214861239,True,3125.0,3117.700986127958
24,0.0001,10000.0,0.25,0.005,50.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,8.98619810030606,8.469939224576079,0.1797239620061212,0.16939878449152157,True,3125.0,3116.013801899694
24,0.0001,10000.0,0.25,0.006,60.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,10.670349430428322,10.153999486727603,0.17783915717380538,0.16923332477879338,True,3125.0,3114.3296505695716
24,0.0001,10000.0,0.25,0.007,70.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,12.351130967688558,11.834781267323994,0.17644472810983655,0.16906830381891422,True,3125.0,3112.6488690323113
24,0.0001,10000.0,0.25,0.008,80.0,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,14.02863757172792,13.512294949307552,0.175357969646599,0.1689036868663444,True,3125.0,3110.971362428272
24,0.0001,10000.0,0.25,0.009,89.99999999999999,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,15.702894319261423,15.186551061353901,0.17447660354734915,0.1687394562372656,True,3125.0,3109.2971056807387
24,0.0001,10000.0,0.25,0.01,99.99999999999999,1,0.1702610052476631,0.130047086803648,2.963900747733058e-16,1.6499101667195675e-15,17.37390380737032,16.857560069246034,0.1737390380737032,0.16857560069246036,True,3125.0,3107.6260961926296
48,0.01,100.0,0.25,0.0,0.0,1,0.15631640701490782,0.1483399001377195,2.8030958029209975e-16,1.4872904417426437e-14,0.0,4.440892098500626e-16,0.0,0.0,True,31.25,31.25
48,0.01,100.0,0.25,0.001,0.1,1,0.15631640701490782,0.1483399001377195,2.8030958029209975e-16,1.4872904417426437e-14,0.024492818124711935,0.015610026978917446,0.24492818124711935,0.15610026978917446,True,31.25,31.225507181875287
48,0.01,100.0,0.25,0.002,0.2,1,0.15631640701490782,0.1483399001377195,2.8030958029209975e-16,1.4872904417426437e-14,0.048911544005462826,0.03117711805206924,0.24455772002731416,0.1558855902603462,True,31.25,31.201088455994537
48,0.01,100.0,0.25,0.003,0.3,1,0.15631640701490782,0.1483399001377195,2.8030958029209975e-16,1.4872904417426437e-14,0.07324630577980784,0.04670170480768987,0.24415435259935947,0.15567234935896623,True,31.25,31.176753694220192
48,0.01,100.0,0.25,0.004,0.4,1,0.15631640701490782,0.1483399001377195,2.8030958029209975e-16,1.4872904417426437e-14,0.0974875205140846,0.062184211286189894,0.2437188012852115,0.15546052821547474,True,31.25,31.152512479485914
