lengthScale,amplitudeOverViscosity,ratioFactor
2.738419634264e+00,1.00000000,7.498942093325e+00
2.818382931264e+00,1.00000000,7.943282347243e+00
2.900681198693e+00,1.00000000,8.413951416452e+00
2.985382618918e+00,1.00000000,8.912509381337e+00
3.072557365267e+00,1.00000000,9.440608762859e+00
3.162277660168e+00,1.00000000,1.000000000000e+01
3.254617834980e+00,1.00000000,1.059253725177e+01
3.349654391578e+00,1.00000000,1.122018454302e+01
3.447466065731e+00,1.00000000,1.188502227437e+01
3.548133892336e+00,1.00000000,1.258925411794e+01
3.651741272548e+00,1.00000000,1.333521432163e+01
3.758374042884e+00,1.00000000,1.412537544623e+01
3.868120546331e+00,1.00000000,1.496235656094e+01
3.981071705535e+00,1.00000000,1.584893192461e+01
4.097321098135e+00,1.00000000,1.678804018123e+01
4.216965034286e+00,1.00000000,1.778279410039e+01
4.340102636447e+00,1.00000000,1.883649089490e+01
