sampleIndex,zeroChargeWeightExact,zeroChargeWeightDecimal,series,boundExact,boundDecimal,isCertifiedWeight,classification
1,101/200,0.50500000000000000444,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
1,101/200,0.50500000000000000444,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1144459039317607444789444329729770336671719544390241013779720428217242564493587714869766939148079752233388953297614035747563305904043670904355250514629115870675356940007887360628756399323134360536397084410801670381677952879243217146564887802764083601063071240773069716625993941239158857570146210491657257080078125000000000000000000000000000000000000000000000000000000000000000000000000000,1.1387248498032995769,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1155790316934613459094290313192441330104112807205985974312192907704541995825207395215012156367367670572333398379768630160905516853588657744992431212793760582266202058225787235486466858722373314601113887226750201771595556373097110385639787681999371557509240262958941694018330514914794093783712014555931091308593750000000000000000000000000000000000000000000000000000000000000000000000000000,1.1275608806875809798,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,s=-1 endpoint,441494869370107105258193622047983844880535047682311892888598441078109682088362620653480777160266406189584624252205076823924463816660723154782936333524973056461845747304986871161545988617943869454688131879798718755695791361435397818962382278565129835186945887569419926827410794870105926529288061746494229631210920102061167700664374870683325687685769256415918673213879960250560963767732933557842218203948812008030060244979729042873716948726339531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94628387083132414759,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,s=1 bound,18822791291690936446211448793457188500776270496392183044504941191954612607255555228889306932110083621315533054986362088125149229905213696978834522776343430646676294571774309186956745716379854176970084468259788961842575391800341576363935972574566181268802818058470931794835564863491923132580495750986071278701872699177568562275486427081104326951250112193614372068706340387847474065728551958398396429261940921626867562002467316607257890677980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17222594999252599512,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
2,51/100,0.51000000000000000888,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1155790316934613459094290313192441330104112807205985974312192907704541995825207395215012156367367670572333398379768630160905516853588657744992431212793760582266202058225787235486466858722373314601113887226750201771595556373097110385639787681999371557509240262958941694018330514914794093783712014555931091308593750000000000000000000000000000000000000000000000000000000000000000000000000000,1.1275608806875809798,false,presentation sample of explicit rational formula
3,103/200,0.51500000000000001332,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1167121594551619473399136296655112323536506070021730934844665387191841427156827075560257373586655588911277843461923224574247727803133644585629611910958405293857047176443687110344177318121612268665830690042698733161513159866951003624714687561234659513955409285144813671410667088590429329997277818620204925537109375000000000000000000000000000000000000000000000000000000000000000000000000000,1.1166136876711967307,false,presentation sample of explicit rational formula
3,103/200,0.51500000000000001332,s=-1 endpoint,441829161893156371637923046083846297555421664882661013641410462341321913904129019429068395491670980213543933240467022861414392384328371366044007654130148818656644512006500097853923729630916095275299469538519469761834677564001005418435448142241459524437729808834924999123589335787088041737797387961078413061316524127990888961262325029931049129947691054163605354897103974982209006527116608231199336311523619771786555660582548116536389176259139531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94700038113449558352,false,presentation sample of explicit rational formula
